Anseriformes;Anhimidae;Screamers;Screamers;"Anhima cornuta";"Horned Screamer";Anioema;0;;
Anseriformes;Anhimidae;Screamers;Screamers;"Chauna torquata";"Southern Screamer";Kuifhoenderkoet;0;;
Anseriformes;Anhimidae;Screamers;Screamers;"Chauna chavaria";"Northern Screamer";Witwanghoenderkoet;0;;
Anseriformes;Anseranatidae;"Magpie Goose";"Magpie Goose";"Anseranas semipalmata";"Magpie Goose";Ekstergans;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Dendrocygna guttata";"Spotted Whistling-Duck";"Gevlekte Fluiteend";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Dendrocygna eytoni";"Plumed Whistling-Duck";"Australische Fluiteend";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Dendrocygna viduata";"White-faced Whistling-Duck";Witwangfluiteend;1;birds/dendrocygna-viduata/large.jpg;birds/dendrocygna-viduata/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Dendrocygna autumnalis";"Black-bellied Whistling-Duck";Zwartbuikfluiteend;1;birds/dendrocygna-autumnalis/large.jpg;birds/dendrocygna-autumnalis/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Dendrocygna arborea";"West Indian Whistling-Duck";"West-Indische Fluiteend";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Dendrocygna bicolor";"Fulvous Whistling-Duck";"Rosse Fluiteend";1;birds/dendrocygna-bicolor/large.jpg;birds/dendrocygna-bicolor/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Dendrocygna arcuata";"Wandering Whistling-Duck";"Zwervende Fluiteend";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Dendrocygna javanica";"Lesser Whistling-Duck";"Indische Fluiteend";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Thalassornis leuconotus";"White-backed Duck";Witrugeend;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anser indicus";"Bar-headed Goose";"Indische Gans";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anser canagicus";"Emperor Goose";Keizergans;1;birds/anser-canagicus/large.jpg;birds/anser-canagicus/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anser caerulescens";"Snow Goose";Sneeuwgans;1;birds/anser-caerulescens/large.jpg;birds/anser-caerulescens/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anser rossii";"Ross's Goose";"Ross' Gans";1;birds/anser-rossii/large.jpg;birds/anser-rossii/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anser anser";"Graylag Goose";"Grauwe Gans";1;birds/anser-anser/large.jpg;birds/anser-anser/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anser cygnoides";"Swan Goose";Zwaangans;1;birds/anser-cygnoides/large.jpg;birds/anser-cygnoides/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anser albifrons";"Greater White-fronted Goose";Kolgans;1;birds/anser-albifrons/large.jpg;birds/anser-albifrons/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anser erythropus";"Lesser White-fronted Goose";Dwerggans;1;birds/anser-erythropus/large.jpg;birds/anser-erythropus/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anser fabalis";"Taiga Bean-Goose";Taigarietgans;1;birds/anser-fabalis/large.jpg;birds/anser-fabalis/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anser serrirostris";"Tundra Bean-Goose";Toendrarietgans;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anser brachyrhynchus";"Pink-footed Goose";"Kleine Rietgans";1;birds/anser-brachyrhynchus/large.jpg;birds/anser-brachyrhynchus/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Branta bernicla";Brant;Rotgans;1;birds/branta-bernicla/large.jpg;birds/branta-bernicla/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Branta leucopsis";"Barnacle Goose";Brandgans;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Branta hutchinsii";"Cackling Goose";"Kleine Canadese Gans";1;birds/branta-hutchinsii/large.jpg;birds/branta-hutchinsii/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Branta canadensis";"Canada Goose";"Grote Canadese Gans";1;birds/branta-canadensis/large.jpg;birds/branta-canadensis/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Branta sandvicensis";"Hawaiian Goose";Hawaiigans;1;birds/branta-sandvicensis/large.jpg;birds/branta-sandvicensis/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Branta ruficollis";"Red-breasted Goose";Roodhalsgans;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Cereopsis novaehollandiae";"Cape Barren Goose";Hoendergans;1;birds/cereopsis-novaehollandiae/large.jpg;birds/cereopsis-novaehollandiae/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Stictonetta naevosa";"Freckled Duck";Stippeleend;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Cyanochen cyanoptera";"Blue-winged Goose";Blauwvleugelgans;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Cygnus olor";"Mute Swan";Knobbelzwaan;1;birds/cygnus-olor/large.jpg;birds/cygnus-olor/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Cygnus atratus";"Black Swan";"Zwarte Zwaan";1;birds/cygnus-atratus/large.jpg;birds/cygnus-atratus/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Cygnus melancoryphus";"Black-necked Swan";Zwarthalszwaan;1;birds/cygnus-melancoryphus/large.jpg;birds/cygnus-melancoryphus/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Cygnus buccinator";"Trumpeter Swan";Trompetzwaan;1;birds/cygnus-buccinator/large.jpg;birds/cygnus-buccinator/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Cygnus columbianus";"Tundra Swan";"Kleine Zwaan";1;birds/cygnus-columbianus/large.jpg;birds/cygnus-columbianus/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Cygnus cygnus";"Whooper Swan";"Wilde Zwaan";1;birds/cygnus-cygnus/large.jpg;birds/cygnus-cygnus/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Coscoroba coscoroba";"Coscoroba Swan";Coscoroba;1;birds/coscoroba-coscoroba/large.jpg;birds/coscoroba-coscoroba/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Sarkidiornis melanotos";"Knob-billed Duck";"Knob-billed Duck";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Sarkidiornis sylvicola";"Comb Duck";"Comb Duck";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Pteronetta hartlaubii";"Hartlaub's Duck";"Hartlaubs Eend";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Oressochen jubatus";"Orinoco Goose";Orinocogans;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Oressochen melanopterus";"Andean Goose";Andesgans;1;birds/oressochen-melanopterus/large.jpg;birds/oressochen-melanopterus/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Chloephaga picta";"Upland Goose";Magelhaengans;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Chloephaga hybrida";"Kelp Goose";Kelpgans;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Chloephaga poliocephala";"Ashy-headed Goose";Grijskopgans;1;birds/chloephaga-poliocephala/large.jpg;birds/chloephaga-poliocephala/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Chloephaga rubidiceps";"Ruddy-headed Goose";Roodkopgans;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Radjah radjah";"Radjah Shelduck";Radjaheend;1;birds/radjah-radjah/large.jpg;birds/radjah-radjah/thumb.jpg
